date,supplies
7/20/2009,2016
7/21/2009,2153
7/22/2009,4211
7/23/2009,2448
7/24/2009,3216
7/25/2009,2210
7/26/2009,2650
7/27/2009,2023
7/28/2009,3044
7/29/2009,4557
7/30/2009,3799
7/31/2009,2760
8/1/2009,2428
8/2/2009,3331
8/3/2009,3058
8/4/2009,2135
8/5/2009,2233
8/6/2009,2444
8/7/2009,2650
8/8/2009,2153
8/9/2009,4413
8/10/2009,4740
8/11/2009,3218
8/12/2009,4868
8/13/2009,4116
8/14/2009,2519
8/15/2009,2135
8/16/2009,2756
8/17/2009,2170
8/18/2009,4005
8/19/2009,4127
8/20/2009,2535
8/21/2009,4726
8/22/2009,4805
8/23/2009,2212
8/24/2009,2207
8/25/2009,3350
8/26/2009,3931
8/27/2009,4018
8/28/2009,4670
8/29/2009,2480
8/30/2009,3212
8/31/2009,2322
9/1/2009,3198
9/2/2009,2210
9/3/2009,2047
9/4/2009,4503
9/5/2009,2145
9/6/2009,4350
9/7/2009,2142
9/8/2009,2029
9/9/2009,2127
9/10/2009,4280
9/11/2009,2166
9/12/2009,2046
9/13/2009,2026
9/14/2009,2765
9/15/2009,2749
9/16/2009,2745
9/17/2009,3752
9/18/2009,2153
9/19/2009,2217
9/20/2009,2230
9/21/2009,3046
9/22/2009,3183
9/23/2009,2070
9/24/2009,2213
9/25/2009,4208
9/26/2009,2774
9/27/2009,4133
9/28/2009,2756
9/29/2009,4213
9/30/2009,4170
10/1/2009,2153
10/2/2009,2073
10/3/2009,3561
10/4/2009,2330
10/5/2009,3977
10/6/2009,2204
10/7/2009,2086
10/8/2009,2226
10/9/2009,2075
10/10/2009,2038
10/11/2009,2069
10/12/2009,2100
10/13/2009,2233
10/14/2009,2166
10/15/2009,3133
10/16/2009,3070
10/17/2009,2777
10/18/2009,3133
10/19/2009,2125
10/20/2009,2766
10/21/2009,2209
10/22/2009,2160
10/23/2009,2065
10/24/2009,2150
10/25/2009,2168
10/26/2009,2046
10/27/2009,4171
10/28/2009,2155
10/29/2009,2517
10/30/2009,2096
10/31/2009,2750
11/1/2009,2217
11/2/2009,3977
11/3/2009,2093
11/4/2009,3204
11/5/2009,4300
11/6/2009,2170
11/7/2009,3844
11/8/2009,2168
11/9/2009,4226
11/10/2009,3192
11/11/2009,3070
11/12/2009,2485
11/13/2009,2097
11/14/2009,4817
11/15/2009,2516
11/16/2009,3074
11/17/2009,2213
11/18/2009,4508
11/19/2009,4405
11/20/2009,2452
11/21/2009,2142
11/22/2009,2205
11/23/2009,4132
11/24/2009,2145
11/25/2009,4744
11/26/2009,2158
11/27/2009,3201
11/28/2009,4178
11/29/2009,2112
11/30/2009,2033
12/1/2009,4401
12/2/2009,3186
12/3/2009,2097
12/4/2009,3058
12/5/2009,4017
12/6/2009,2315
12/7/2009,2285
12/8/2009,2219
12/9/2009,2065
12/10/2009,3216
12/11/2009,4509
